mois,famille,objectif
2025-11,Développement,0
2025-11,Test / QA,0
2025-11,PO / BA / AMOA,0
2025-11,Chefs de Projet / PMO,0
2025-11,Data,0
2025-12,Développement,4
2025-12,Test / QA,0
2025-12,PO / BA / AMOA,0
2025-12,Chefs de Projet / PMO,0
2025-12,Data,0
2026-01,Développement,1
2026-01,Test / QA,0
2026-01,PO / BA / AMOA,0
2026-01,Chefs de Projet / PMO,0
2026-01,Data,0
2026-02,Développement,2
2026-02,Test / QA,0
2026-02,PO / BA / AMOA,0
2026-02,Chefs de Projet / PMO,0
2026-02,Data,0
2026-03,Développement,1
2026-03,Test / QA,0
2026-03,PO / BA / AMOA,0
2026-03,Chefs de Projet / PMO,0
2026-03,Data,0
2026-04,Développement,1
2026-04,Test / QA,0
2026-04,PO / BA / AMOA,0
2026-04,Chefs de Projet / PMO,0
2026-04,Data,0
